inputID,input,task,source
fsa1,"Came somewhat charged so I could at least try it out. Seemed to work OK when it was delivered.  So I charged it overnight to be sure it was ready to go. The next day I tried to use: it struggled to stay on and finally just went kaput after a few seconds. Never worked again. Not only that, but the instructions were only in one language and it was not English. So I had no way of knowing what or how to troubleshoot.I ended up returning it but even that was an adventure. I usually take stuff to the UPS Store (really close by). When I got there I realized I had been provided with a UPS shipping label instead of a QR code (my bad for not checking before I left the house). To add insult to injury, I was going to be charged a dollar (via Amazon or the seller- not sure which but the extra dollar was not being charged by the UPS Store) for the ""convenience"" of a label. I spoke with the UPS Store owner (I've come to know them well) and then I called Amazon. Amazon was helpful and explained that the seller ONLY did QR codes for Whole Foods returns. Good grief. Amazon rep then switched my UPS return label to the QR code for Whole Foods and I had to wait till I was in THAT neck of the woods to complete the return. Completely weird and inconvenient. In the spirit of transparency, I was offered an option to select ""send a replacement"" when I went to start the return process return, but with no English instructions (or even Spanish as I can read both languages), I wasn't about to take my chances. I just wanted my money back.Summary: doesn't work beyond a few moments, no English instructions, the return was conveniently inconvenient.",sentiment analysis,https://www.amazon.com.au/product-reviews/B07QK9C9KT/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
fsa2,"I had really high hopes for this cute little fan after reading the reviews.…To a lot of people the dirty marks may not seem like much but to me It shows that the company doesn't care about what they're sending out to their customers. In addition to the marks, I believe the fan I received to be faulty because within 10 seconds of turning it on it starts to get very hot and blow burning hot air. Im very unhappy with my fan experience. I wish I didn't have to write a bad review and be “that person” But this was a big letdown for me after reading such positive reviews",sentiment analysis,https://www.amazon.com.au/product-reviews/B07QK9C9KT/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
fsa3,"There is one button that is too easy to press.  If held down for a couple seconds, the flashlight turns on.  I put two of these in a backpack along with some other items for a week at Disney World, and often I would pull it out of the bag and the flashlight would be on or the fan would be dead from the light being on.I eventually put them in my cargo short pockets, and the same thing happened - strangers would point out a light was on inside my cargo shorts.Also, when the fan would power on - it was useless.  You needed to hold fan an inch away from face to feel anything even on the higher speed.I ended up buying a Japanese style folding fan, and it worked FAR better - pushing out FAR more air and cooling effect via evaporation.  And no battery and switches to worry about!!",sentiment analysis,https://www.amazon.com.au/product-reviews/B07QK9C9KT/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
fsa4,"Bought this fan hoping it would help when traveling in hot places. It ended up being basically useless because it cannot hold a charge for even a few days.Though I charged the fan fully, it would lose its charge over the course of a couple days, even when I did not use it at all. At best I would get 1-2 minutes of fanning in once, but it'd be dead by the next day. It's too bad I returned from my trip after the return period closed; I would not recommend it.",sentiment analysis,https://www.amazon.com.au/product-reviews/B07QK9C9KT/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
fsa5,"I've made the mistake of ordering this twice. I received the first one and immediately noticed that after a full charge the light did not work. Fine took the time to return it and ordered the second one. I receive the second fan and noticed as I opened the product box I would be unable to even place a full charge on it because (wait a minute) there was NO cord in the box. I then noticed it had a little charge on it and, Oh the flashlight did not work yet again. Needless to say I will not be getting a third. Horrible stay away, don't waste your time or money.",sentiment analysis,https://www.amazon.com.au/product-reviews/B07QK9C9KT/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
fsa6,"This fan was brilliant when I first got it. The speed is so powerful and the design is really nice. The way it can be hand held and propped up on a surface. I loved using it to cool my food. It didn't last long at all. I bought it in July of last year. That was a long time ago but it started randomly cutting off very shortly after that. Like not even a couple weeks. I've just been really slow writing a review. And this is why I don't review things immediately. For a while it would cut off after a few minutes. Now it's a couple seconds. There was only a very short window of time that it worked without cutting off. So maybe I got a fluke because the reviews are great. When it works it's so great. So fast and blows nice cool air. In the video it's on full charge. I had just taken it off a full day of charge seconds before. So yeah, now it's a glorified flashlight. Booooo! It's not the battery life that is bad btw because the flashlight still works. The use of USB-C makes it powerful. It just has a crappy motor. ",sentiment analysis,https://www.amazon.com.au/product-reviews/B07QK9C9KT/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
fsa7,"This was really disappointing based on the number of good reviews. I bought this as a gift for my wife a couple months ago for a concert this weekend. We were able to use it at the park a couple of times, so we figured it was good. We charged it all day Saturday and took it with us, but once we got inside and went to use it, there was nothing. We charged it again all day and overnight to this morning, and the charging light never changes from red. The fan won't turn on plugged in or unplugged.",sentiment analysis,https://www.amazon.com.au/product-reviews/B07QK9C9KT/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
fsa8,"Item worked great for about an hour on and off and then completely stopped working. I have left it plugged into the charger for several hours and it won't back on. Also, the flashlight feature did not work  once, light never came on. I will be returning this product which is unfortunate because it worked so well for the time that it did at the amusement park.Update: Customer service is quick to reach out to you to see how they can help. They refunded me my money without having to send back the product.",sentiment analysis,https://www.amazon.com.au/product-reviews/B07QK9C9KT/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
fsa9,Only gave 1 star because it wouldn’t let me choose 0. Used this once.  Now it won’t open.  Just outside the return window.  Tried teaching seller.  It kept saying I would hear back from them in a few minutes.  Days ago and nothing.  Amazon reached out to see how my interaction was.  Response was it is awful.  Nothing from Amazon either.  Complete waste of money and time.,sentiment analysis,https://www.amazon.com.au/product-reviews/B07QK9C9KT/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
fsa10,This fan is too noisy.  You can hear the motor going loudly and on high speed it gets even louder.  Imagine sitting in church and all of a sudden you hear a motor going and you distracting everyone lol.,sentiment analysis,https://www.amazon.com.au/product-reviews/B07QK9C9KT/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
