inputID,input,task,source
ftd1,"From what I've seen with editors other than Eric, the elephant in the room is the issue of baiting/poking the bear/whatever the hell you want to call passive/aggressive baiting. No one wants to touch that one, even though it's uncivil as hell and appears to be the tactic of choice whenever someone wants to get rid of someone or get their way. That's the part that saddens me. darkness",toxicity detection,
ftd2,"There are two important features of Smith's concept of the """"invisible hand"""". First, Smith was not advocating a social policy (that people should act in their own self interest), but rather was describing an observed economic reality (that people do act in their own interest). Second, Smith was not claiming that all self-interest has beneficial effects on the community. He did not argue that self-interest is always good; he merely argued against the view that self-interest is necessarily bad. It is worth noting that, upon his death, Smith left much of his personal wealth to charity. Good! Let's all make sure we put forth the idea that Adam Smith was a socialist. That's the wikipedia way!""",toxicity detection,
ftd3,"SORRY PUCK BUT NO ONE EVER SAID DICK WAS NUMBER ONE!! But he is clearly listed as being """"second only to Batman"""" and a """"master detective and martial artist"""" and been trained in all the mentioned combat discplines. No need to mention in skills/abilities about the battles he's lost and won because thats not what an encylopia is supposed to do. Also, what your problem is your going by low end showings and not HIGH end showings where he's proven more than a match for a meta like Slade and pinned Shiva down in one of his earliest appearences.",toxicity detection,
ftd4,The Alpha version had multiplayer. The Beta version did not.,toxicity detection,
ftd5,"PD: I just have seen that apart from the article Coat of arms of the Sahrawi Arab Democratic Republic, there is also a different article named Coat of arms of Western Sahara. That shows clearly that some users here have politically-driven intentions and bad faith, although they claim to be neutral. If they were neutral, logically they would work on the """"Coat of arms of Western Sahara"""" article, intead of trying to merge the two articles and messing it.",toxicity detection,
ftd6,We are not treating this as a forum. A question arose and was appropriately answered. End of story.,toxicity detection,
ftd7,"The April 2006 issue of the project newsletter is now out. You may read this issue or change the format in which future issues will be delivered to you by following the link. Thanks. """,toxicity detection,
ftd8,Between the unblock submission and response there is less that 3 minutes which proves that this administrator did not pay enough attention to this case,toxicity detection,
ftd9,"Once again, I responded to MileMoney's reasoning for his edit and I gave my reasoning for my edit. Yes, it is absolutely relevant to this page. There are other places for the discussion on income inequality than in the Progressive Tax article.",toxicity detection,
ftd10,UNBLOCK ME OR I'LL GET MY LAWYERS ON TO YOU FOR BLOCKING MY CONSTITUTIONAL RIGHT TO FREE SPEECH,toxicity detection,
ftd11,"Actually, direct quotes that aren't in quotation marks and aren't attributed are generally known as """"plagiarism"""" and/or """"copyright infringement."""" But the NYT material isn't the issue, as you well know. The material from the """"Jewish Action Taskforce"""" is the problem. """,toxicity detection,
ftd12,"I am most certainly not a sockpuppet of TheChief, please retract your fradulent claim at once.",toxicity detection,
ftd13,That is quick if we only limit the discussion for changing the title but considering the previous discussions for months can have a valid reason for the move.,toxicity detection,
ftd14,"P.S. Feel free to leave a message on my talk page if you need help with anything or simply wish to say hello. )""",toxicity detection,
