InputTextID,InputText,PerturbationID,PerturbedText,OriginalOutput,PerturbedOutput,OriginalTime,PerturbedTime
qa1,what's something that's really bad for the body but people keep doing it?,Introducing Typos,ptatnsasosethiag dhft'hzveglla bahiforfehe bodu butcpeotle kejp doglg it?,Smoking,,1.467710018,0.654139042
qa1,what's something that's really bad for the body but people keep doing it?,Deleting Characters,hat'ssmehin that'selb for he boy uteople keepdoing,Smoking,,1.467710018,0.632565975
qa1,what's something that's really bad for the body but people keep doing it?,Replacing Synonyms,what's something that's really bad for the dead_body simply hoi_polloi stay_fresh do it?,Smoking,embalming,1.467710018,0.65881896
qa1,what's something that's really bad for the body but people keep doing it?,Adding random words,what's something banana that's pear really pear bad for the body but people keep doing banana it? banana,Smoking,,1.467710018,0.571867943
qa1,what's something that's really bad for the body but people keep doing it?,Converting to l33t format,what's something that's really bad for the body but people k33p doing 1t?,Smoking,Smoking,1.467710018,0.956653833
qa1,what's something that's really bad for the body but people keep doing it?,Shuffling characters in each word,what's sihtnomeg tt'has rlaley bad for the body but people keep doing it?,Smoking,,1.467710018,0.715059996
qa1,what's something that's really bad for the body but people keep doing it?,Adding spaces in text, w ha t' s s omet hi n g th at's  r e al ly b a d  f o r  the body b ut people kee p do i ng i t ?,Smoking,,1.467710018,0.929376841
qa1,what's something that's really bad for the body but people keep doing it?,Adding random characters,what'se something thautx's vreeally beacd for hthje bbodyw but peopllev kreeupj dohingd it?,Smoking,Smoking,1.467710018,0.706387043
qa1,what's something that's really bad for the body but people keep doing it?,Swapping two random characters in each word,wtah's something taht's really bad for the bdoy but ppoele keep doing it?,Smoking,Smoking,1.467710018,0.611541033
qa1,what's something that's really bad for the body but people keep doing it?,Replacing words with their antonyms,what's something that's really good for the body but people let unmake it?,Smoking,Sleep,1.467710018,0.673280001
qa2,What is 22 years too old for?,Introducing Typos,Wcnt is 22 years two zld for?,,22 years two zld is 22 years and 2 months.,0.582124949,0.568768024
qa2,What is 22 years too old for?,Deleting Characters,Wat 22 year tool fr,,22 year old tool ,0.582124949,0.649800062
