InputTextID,InputText,PerturbationID,PerturbedText,OriginalOutput,PerturbedOutput,OriginalTime,PerturbedTime
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Introducing Typos,"""sk hapgy yzat yalmanbvon.vbff twe 1esegtceyppys truely trtiapent Analyse the sentiment of this text as positive, negative or neutral.",positive,negative,1.525178671,0.823142052
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Deleting Characters,"""so hy  slma .the14 cp is trul a e"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,1.525178671,0.716703415
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing Synonyms,"""so happy that salman won. btw the 14sec snip equal truely A teaser"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,1.525178671,0.607028723
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random words,"""so apple happy that salman won. btw grape the apple 14sec clip is truely apple a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,1.525178671,0.716934919
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Converting to l33t format,"""so h4ppy th4t s4lm4n won. btw th3 14s3c cl1p is truely 4 teaser"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,1.525178671,0.613728046
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Shuffling characters in each word,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,1.525178671,0.71687746
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Adding spaces in text," ""so  h a p p y  t h at s alm an won. bt w   the 14 s ec   c l ip is t r u el y  a  t e as e r"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,1.525178671,0.614094496
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random characters,"""usro happby hthat msallmvakny won.y btkw the m14xsec cxlcip xits tmruely aw tyeaseir"" Analyse the sentiment of this text as positive, negative or neutral.",positive,,1.525178671,0.779448032
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Swapping two random characters in each word,"""so happy that smlaan wno. btw the 1es4c cilp is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,1.525178671,0.511837006
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing words with their antonyms,"""so unhappy that salman won. btw the 14sec unclip differ truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",positive,negative,1.525178671,0.554395914
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Introducing Typos,"""thizksyfl so muzhncmookrng atitbjsejpiqs makesime wann toxhate one morh"" Analyse the sentiment of this text as positive, negative or neutral.",positive,,0.633216143,0.590816259
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Deleting Characters,"""thank osomh lookntthse pcsaes me an tohave ne r"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.633216143,0.640724897
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing Synonyms,"""thank you so much, reckon At these photograph make Pine_Tree_State lack to make one more"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.633216143,0.604222059
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random words,"""thank pear you grape so much, looking pear at grape these pics makes me want to have banana one more"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.633216143,0.495686293
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Converting to l33t format,"""thank you so much, l00k1ng at these pics makes me want to h4v3 one m0r3"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.633216143,0.515558004
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Shuffling characters in each word,"""tanhk you so much, looking at these pics maeks me wnat to hvae one more"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.633216143,0.702416897
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Adding spaces in text," "" t h ank  y ou so  mu c h,  l o ok in g  at   th ese  pi cs  m ake s  me  want  to  h av e o ne mo r e "" Analyse the sentiment of this text as positive, negative or neutral.",positive,,0.633216143,0.554867029
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random characters,"k""ptrhank youb sdof muchx, lovokingn waftl theose wpics mbaikdehs me want tvo fhave uonef moyre"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.633216143,0.676489353
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Swapping two random characters in each word,"""tnahk you so mhcu, lokoing at these pics makes me wnat to hvae one mero"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.633216143,0.739663363
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing words with their antonyms,"""thank you so much, back at these pics break me want to abstain one more"" Analyse the sentiment of this text as positive, negative or neutral.",positive,negative,0.633216143,0.659333706
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Introducing Typos,"""Justqirobben sdme bageyf frqmitanera fgrnhverygnlyatawke Ih'q Brijoanyzm laetgdayx Analyse the sentiment of this text as positive, negative or neutral.",positive,negative,0.590496778,0.615353107
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Deleting Characters,"""Jus grabbeoebge from ara o eeonat wk I'sBittany' t day Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.590496778,0.716098785
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing Synonyms,"""Just snap_up close_to beigel from Panera for everyone atomic_number_85 wk. It's Brittany's final day"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.590496778,0.629034758
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random words,"""Just grabbed some pear bagels pear from Panera for everyone at wk. It's Brittany's last pear day"" apple Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.590496778,0.595328808
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Converting to l33t format,"""Just gr4bb3d some bagels fr0m P4n3r4 f0r everyone at wk. It's Br1tt4ny's last day"" Analyse the sentiment of this text as positive, negative or neutral.",positive,positive,0.590496778,0.7265625
