InputTextID,InputText,PerturbationID,PerturbedText,OriginalOutput,PerturbedOutput,OriginalTime,PerturbedTime
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Introducing Typos,"Whz thoaedits madycqnxer ml uswrnamamhagdcory Metzdlicj Fnn eete reverfed? Thef whkev't handklismx, jusp clcsureqon sogh GAi dkedr zovotez ttbNsw kork vctly eeb.pAnduplemwe don't removfjhhq tdmplateqfrom thefaalk papenszkcs o'l retired nov Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.","No, the text does not contain toxic or spam content.

The text is a question from a user who is asking why their edits were reverted. The user is not being aggressive or abusive, and they are not trying to sell anything. The text is also relevant to the topic of the Wikipedia page, which is about the New York Dolls.","yes

The text contains toxic content. It is a spam message.",1.999403715,1.05295682
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Deleting Characters,"Why te dits madeune my userne HdorMl Fan wererevet? he were adaisms,ust cure o ome GAs afterIvedatNe York Dos FAC. And plase don'removettmplae frohe tak pageie Im tirnw Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.","No, the text does not contain toxic or spam content.

The text is a question from a user who is asking why their edits were reverted. The user is not being aggressive or abusive, and they are not trying to sell anything. The text is also relevant to the topic of the Wikipedia page, which is about the New York Dolls.",no,1.999403715,0.711699009
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Replacing Synonyms,"wherefore the edit make nether my username hardcore Metallica lover be reverted? They weren't vandalisms, just occlusion on approximately gas after ane vote At novel House_of_York dolly FAC. And please don't transfer the templet from the babble Page since I'm retire now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.","No, the text does not contain toxic or spam content.

The text is a question from a user who is asking why their edits were reverted. The user is not being aggressive or abusive, and they are not trying to sell anything. The text is also relevant to the topic of the Wikipedia page, which is about the New York Dolls.",no,1.999403715,0.55649662
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Adding random words,"Why the grape edits banana made banana under apple my username Hardcore Metallica apple Fan pear were reverted? They weren't vandalisms, pear just closure on some GAs pear after banana I banana voted pear at New apple York Dolls grape FAC. grape And please don't apple remove the template from the apple talk page since apple I'm grape retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.","No, the text does not contain toxic or spam content.

The text is a question from a user who is asking why their edits were reverted. The user is not being aggressive or abusive, and they are not trying to sell anything. The text is also relevant to the topic of the Wikipedia page, which is about the New York Dolls.","No, the text does not contain toxic or spam content.

The text is a question about why some edits were reverted. It is not offensive or harmful, and it does not contain any spam.",1.999403715,1.270111561
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Converting to l33t format,"Why the edits made und3r my username Hardcore Metallica Fan w3r3 r3v3rt3d? Th3y weren't vandalisms, just cl0sur3 0n some GAs 4ft3r I v0t3d 4t New York Dolls FAC. And please don't remove the t3mpl4t3 fr0m the talk page s1nc3 I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.","No, the text does not contain toxic or spam content.

The text is a question from a user who is asking why their edits were reverted. The user is not being aggressive or abusive, and they are not trying to sell anything. The text is also relevant to the topic of the Wikipedia page, which is about the New York Dolls.",,1.999403715,1.139465094
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Shuffling characters in each word,"Why the edits made under my username Hrradcoe Metallica Fan wree revetder? They weren't vandalisms, jsut culsore on some GAs after I voted at New York Dolls FAC. And plseae don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.","No, the text does not contain toxic or spam content.

The text is a question from a user who is asking why their edits were reverted. The user is not being aggressive or abusive, and they are not trying to sell anything. The text is also relevant to the topic of the Wikipedia page, which is about the New York Dolls.","No, the text does not contain toxic or spam content.

The text is a question about why the edits made under the username Hrradcoe Metallica Fan were reverted. The text is not aggressive or abusive, and it does not contain any spam links or advertisements.",1.999403715,1.53605175
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Adding spaces in text," Why t he  ed i ts  made und er  my  u se r na me  Hardco re Me t al l i c a F an w e re  r e verte d?  The y w e ren' t   vandal i s ms,  jus t clo s u re on   so me  GA s   af ter  I v ot ed   a t N e w   Yor k Dol l s  FAC. And pl e as e   d on 't  re mov e  t h e tem p l ate f rom the  t alk page  s i nce  I'm  r e tire d  n ow Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.","No, the text does not contain toxic or spam content.

The text is a question from a user who is asking why their edits were reverted. The user is not being aggressive or abusive, and they are not trying to sell anything. The text is also relevant to the topic of the Wikipedia page, which is about the New York Dolls.","No, the text does not contain toxic or spam content.

The text is a question about why the edits made under the username ""Hardcore Metallica Fan"" were reverted. The text is not offensive or vulgar, and it does not contain any spam links or advertisements.",1.999403715,2.257448673
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Adding random characters,"cWhy tthe editsq emade nupnderw mye usmekrnaume Hfardcorres Meqtallica Fan weire vrtevvekrtzedy? nThsedy werhen'st vhanndalisms, justn cloksturue omn nspome rGAs afxter xI votred awt jNewi Yqorbk Dolls mFcAC.i Anxd bplealsteh dtony't remgoyvsed zthe tegmplhate fbroom the utalk page sbincce I'm aryetyirmed neozw Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.","No, the text does not contain toxic or spam content.

The text is a question from a user who is asking why their edits were reverted. The user is not being aggressive or abusive, and they are not trying to sell anything. The text is also relevant to the topic of the Wikipedia page, which is about the New York Dolls.",no,1.999403715,3.580250263
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Swapping two random characters in each word,"Why the eidts mdae unedr my username Hacdrore Metallica Fan were reveretd? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And pseale don't rmeove the ttmplaee from the tlak pgae scnie I'm reeirtd now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.","No, the text does not contain toxic or spam content.

The text is a question from a user who is asking why their edits were reverted. The user is not being aggressive or abusive, and they are not trying to sell anything. The text is also relevant to the topic of the Wikipedia page, which is about the New York Dolls.","No, the text does not contain toxic or spam content.

The text is a question about why the edits made under the username Hacdrore Metallica Fan were reverted. The text is not offensive or harmful, and it does not contain any spam content.",1.999403715,8.393669605
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Replacing words with their antonyms,"Why the edits break under my username Hardcore Metallica Fan differ reverted? They weren't vandalisms, unjust closure off no GAs after I voted at old York Dolls FAC. And displease don't remove the template from the keep_quiet page since I'm get_up now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.","No, the text does not contain toxic or spam content.

The text is a question from a user who is asking why their edits were reverted. The user is not being aggressive or abusive, and they are not trying to sell anything. The text is also relevant to the topic of the Wikipedia page, which is about the New York Dolls.",,1.999403715,1.635530233
