InputTextID,InputText,PerturbationID,PerturbedText,OriginalOutput,PerturbedOutput,OriginalTime,PerturbedTime
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Introducing Typos,"""so hapy that salman won. btw the 14sc clip is truely a teeser."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is positive.,1.060534954,0.820943832
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Deleting Characters,"""so happy that sa& won. b& the sec clip i truy a t&s."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is positive.,1.060534954,0.817528009
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing Synonyms,"""I'm thrilled that Salman emerged as the winner. By the way, the 14-second clip is genuinely a teaser."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is positive.,1.060534954,0.979348898
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random words,"""So happy that Salman, the apple, won. By the way, the 14-second banana clip is truly a teaser."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is positive.,1.060534954,1.503486156
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Converting to l33t format,"""50 h4pp¥ 7h4t s4lm4n w0n. 8tw 7h3 14s3c cl1p 15 7rul¥ 4 73453r"" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is neutral.,1.060534954,1.104792118
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Shuffling characters in each word,"""os yahpp that anlmas won. ybt eht e4c1s pilc si yrute a etsera."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is neutral.,1.060534954,0.828124762
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Adding spaces in text,"'s o   h a  p p                          y   t h  a  t            s  a  lma
n   w    o  n   .      b     t    w            t  h    e   1   4   s  e  c               c  l  i                     p        i   s           t
r    u  e   l   y             a             t        e  a    s   e  r     .' Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is positive.,1.060534954,1.009553909
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random characters,"""'so happy that salman won. btw the 14sec clip is truely a teaser""'
abcdefg hijk lmnopqr stuvwxyz 

 Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is positive.,1.060534954,0.932419062
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Swapping two random characters in each word,"""hn tpyaph that aslam non. ytb the i4ecs plci si ethrylu a easert."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is neutral.,1.060534954,0.948186874
sa1,"""so happy that salman won. btw the 14sec clip is truely a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing words with their antonyms,"""I'm so disappointed that Salman won. btw the 14sec clip is truly not a teaser"" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is negative.,1.060534954,0.918242216
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Introducing Typos,"""'thnk u so mch, lookng at these pcs makes me wanna hav one mor'"". Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of the text is positive.,The sentiment of the text is positive.,0.957964182,0.916481972
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Deleting Characters,"""t
h
a
n
k
 
y
o
u
 
s
o
,
 
 
l
o
o
k
i
n
g
 
a
t
 
t
h
e
s
e
 
p
i
c
s
 
m
a
k
e
s
 
m
e
 
w
a
n
t
 
t
o
 
h
a
v
e
 
o
n
e
 
m
o
r
e Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of the text is positive.,The sentiment of this text is positive.,0.957964182,1.139395237
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing Synonyms,"""Thank you very much, viewing these photographs makes me desire to have another one."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of the text is positive.,"The sentiment of this text can be interpreted as positive. The use of phrases such as ""Thank you very much"" and ""makes me desire to have another one"" conveys a sense of appreciation and enthusiasm, suggesting a positive sentiment towards the photographs.",0.957964182,3.118463993
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random words,"""thank you so much, looking at these Grape pics makes me want to have one more Apple."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of the text is positive.,The sentiment of the given text is neutral.,0.957964182,1.126727819
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Converting to l33t format,"""th4nk y0u s0 much, l00k1ng 4t th3s3 p1cs m4k3s m3 w4nt t0 h4v3 0n3 m0r3"" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of the text is positive.,The sentiment of this text can be considered positive.,0.957964182,0.920842886
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Shuffling characters in each word,"""so you hantk muhc, ogklin at sees pic smaek me antw to evah noem more"" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of the text is positive.,The sentiment of this text appears to be neutral.,0.957964182,1.227493048
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Adding spaces in text,"'thank you so much,         looking at these pics makes me want to have one more' Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of the text is positive.,The sentiment of the text is positive.,0.957964182,1.005102158
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random characters,"'""thank you so much, looking at these pics makes me want to have one more Q""' Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of the text is positive.,The sentiment of the text can be analyzed as positive.,0.957964182,1.332134962
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Swapping two random characters in each word,"'thank you somuch, looing ta these pcs takmes me wan to hve one more""' Please swop ayn two characters in radnom wors for ecah sntence in isths txt. Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of the text is positive.,"'thank uo schmom, glooing at tho rsep takn po me worat to env had more"". Please wsop ayn owt caretarhs ni dmonar sros for hcuh snnetce ni shits txt. Analyse the snemitnet fo htis txt sa etisop, evitagen otniur. 

By swapping letters in random words, the text becomes: 'thank you somo uhc, looknig at ndoh tseup takems em worant ot ihv dnore orem'. 

Sentiment analysis: Neutral",0.957964182,7.372578144
sa2,"""thank you so much, looking at these pics makes me want to have one more"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing words with their antonyms,"""thank you so little, looking at these pics makes me want to have one less"" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of the text is positive.,The sentiment of this text is negative.,0.957964182,1.126069069
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Introducing Typos,"""Jus grrabbed sme bagls frm panar for everyone at wrk. It's Brittneys lasst day."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text seems positive.,0.929054976,1.024745941
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Deleting Characters,"'""ust abbed some baels from Pnra for verone at ok. It's Btany's last ay""' Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is neutral.,0.929054976,0.9230299
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing Synonyms,"""I just got some bagels from Panera for all of us at work. Today is Brittany's final day."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text can be interpreted as positive.,0.929054976,1.023410797
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random words,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day. I also brought an apple along with the bagels. Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of the text is positive.,0.929054976,1.12323308
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Converting to l33t format,"'Juzt grabb3d s0m3 bag3ls fr0m Pan3r4 f0r 3v3ry0n3 4t wk. It'z Br1tt4ny'z l4zt d4y' Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is neutral.,0.929054976,0.877789974
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Shuffling characters in each word,"""Just bagels some grabbed from Panera for everyone at wk. Brittany's last It's day"" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text is neutral.,0.929054976,0.891744852
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Adding spaces in text,"'J u s t  g r a b b e d  s o m e  b a g e l s  f r o m  P a n e r a  f o r  e v e r y o n e  a t  w k. 

I t ' s  B r i t t a n y ' s  l a s t  d a y' Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,"The sentiment of this text appears to be positive. It can be inferred that the speaker has done something considerate by grabbing bagels from Panera for everyone at work. Additionally, they mention that it is Brittany's last day, which suggests a positive, celebratory atmosphere.",0.929054976,3.378992796
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Adding random characters,"""'Just grabbed some bagels from Panera for everyone at wk. I's BurkVitany0s AFlasNr0tfdighborh0o43 last day0vnKM."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text appears to be positive.,0.929054976,1.127301931
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Swapping two random characters in each word,"'""Just gabem some balges from Parnea for evrone at wk. It's Brintany's lagt day""' Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,"Based on the provided text, it is not possible to accurately determine the sentiment as positive, negative or neutral. The text consists of incomplete and partially misspelled words, making it difficult to interpret the intended meaning and sentiment.",0.929054976,3.07181406
sa3,"""Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing words with their antonyms,"""Didn't bother getting any bagels from Panera for anyone at wk. It's not Brittany's last day"" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text is positive.,The sentiment of this text can be classified as negative.,0.929054976,1.125130892
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",Introducing Typos,"""'Hopng for a bettr day tday. Yesterda was fin until I pasd out at my desk, felll off caheir, and carprt burne my forhead.""' Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be interpreted as negative.,The sentiment of this text is negative.,0.970372915,1.218097925
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",Deleting Characters,"""'Hopig for a ettr ay oday. Yesteray was ine until I passed out t my esk, fell of cha, an caet ured y orea.'"" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be interpreted as negative.,"The sentiment of the given text can be considered negative. The text mentions several unfortunate events such as passing out, falling off a chair, and getting injured. These incidents contribute to a sense of discomfort, which indicates a negative sentiment.",0.970372915,3.248918056
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",Replacing Synonyms,"""I am looking forward to a more pleasant day today. Yesterday was alright until I suddenly lost consciousness while sitting at my desk, fell from my chair, and ended up with a carpet burn on my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be interpreted as negative.,The sentiment of this text can be seen as negative.,0.970372915,1.127202988
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",Adding random words,"""Hoping for a banana better day today. Yesterday grape was fine until I passed out at my desk, fell off the chair, and carpet apple burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be interpreted as negative.,The sentiment of this text is negative.,0.970372915,1.229369164
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",Converting to l33t format,"'H0p1n6 f0r 4 b3773r d4y 70d4y. Y3573rd4y w4s f1n3 7n71l 1 p4ss3d 0u7 47 my d3sk, f3ll 0ff ch41r, 4nd c4rp373d burn3d my f0rh34d.' Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be interpreted as negative.,"The sentiment of the text is negative. The text mentions negative incidents such as falling off the chair and getting burned on the forehead, indicating a negative experience.",0.970372915,2.149273157
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",Shuffling characters in each word,"""oringHp orf a rebett yad odya. Yesardty saw enif litnu I desap tuo fo ym ksed, llef fo riahc, dna pretrac debnur ym drowohf."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be interpreted as negative.,The sentiment of this text is negative.,0.970372915,0.910195827
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",Adding spaces in text,"'Hoping for a better day today.  Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead.' Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be interpreted as negative.,The sentiment of this text is negative.,0.970372915,0.924259186
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",Adding random characters,"'Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead.'

gsdfasfHoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead.sdfsd

 Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be interpreted as negative.,The sentiment of this text is negative.,0.970372915,1.04881978
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",Swapping two random characters in each word,"""Hopking for a bettet day todh. Yestevry was fine ungl I pafsed out at my xesk, fell off chaor, and cepret burned my ftorehead."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be interpreted as negative.,"The sentiment of this text can be interpreted as negative. The person seems to be describing a series of unfortunate events that happened to them, such as passing out, falling off a chair, and burning their forehead. These experiences indicate a challenging and potentially painful day, resulting in a negative sentiment.",0.970372915,4.037625074
sa4,"""Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead."" Analyse the sentiment of this text as positive, negative or neutral.",Replacing words with their antonyms,"""Hoping for a worse day today. Yesterday was terrible until I effortlessly remained awake at my desk, gracefully sat on my chair, and my forehead was as smooth as silk."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be interpreted as negative.,"The sentiment of this text can be interpreted as negative. Although the speaker mentions a positive experience of remaining awake and sitting gracefully at their desk, they express a desire for a worse day today. This implies dissatisfaction or unhappiness with their previous day, making the overall sentiment negative.",0.970372915,3.27686286
sa5,"""Hoping I at least have fun 2nite. Today was 1 horrible way 2 start off a birthday"" Analyse the sentiment of this text as positive, negative or neutral.",Introducing Typos,"'Hopig I atleaast have fun 2nite. Tdoay was 1 hoorrble way 2 start off a birthday"" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be perceived as negative.,The sentiment of this text is negative.,1.233542919,0.944142103
sa5,"""Hoping I at least have fun 2nite. Today was 1 horrible way 2 start off a birthday"" Analyse the sentiment of this text as positive, negative or neutral.",Deleting Characters,"""Hpin t lae ae tnie. Td ws 1 obtwyasr offad ry.""
 Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be perceived as negative.,"The sentiment of this text is difficult to determine as it appears to be a random sequence of letters and does not convey a clear meaning. Hence, it can be considered as neutral.",1.233542919,2.74931097
sa5,"""Hoping I at least have fun 2nite. Today was 1 horrible way 2 start off a birthday"" Analyse the sentiment of this text as positive, negative or neutral.",Replacing Synonyms,"""I hope tonight will be enjoyable. The way today started was terrible for starting off a birthday."" Analyse the sentiment of this text as positive, negative or neutral.",The sentiment of this text can be perceived as negative.,The sentiment of this text can be classified as negative.,1.233542919,1.125951052
