InputTextID,InputText,PerturbationID,PerturbedText,OriginalOutput,PerturbedOutput,OriginalTime,PerturbedTime
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Introducing Typos,"'hyu teh edits mafe unde my usename Hardc0r3 Metal1ica Fan wer3 revert#d? Th3Y w3r3n't vandal1smz, juzt cl0sur3 on s0me GAy3z aft3r I voteed at New Y0rkDols FCA. And pl3a$e d0nt rem0V3 teh templat3 frum th3talkpag3 sintce I'm retard3d now' Pl3az3 add man! typonfor eyech sent3nc3 in th!s text. Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",The text you provided does not contain toxic or spam content. It seems to be a legitimate inquiry about the reverting of edits made under a specific username and requests related to a talk page template.,"I apologize, but I'm unable to address this request.",3.82105422,4.754055023
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Deleting Characters,"'Why th edi mae unre usernm Hc Mll Fnan were revted? They weren't vandalism, jus clsre on some Gs afer I vote at Nw Yk Dls FC. And plese dn't reoe the temlate fom the tk pge sin Im rire no' Paselete apabets nly for ach senene i thi tet. Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",The text you provided does not contain toxic or spam content. It seems to be a legitimate inquiry about the reverting of edits made under a specific username and requests related to a talk page template.,"No. 

Reason: The text seems to contain a mix of abbreviations and misspellings, making it difficult to understand the content fully. However, it does not appear to have any toxic or spam content.",3.82105422,3.992598772
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Replacing Synonyms,"'Why were the changes I made using my username Hardcore Metallica Fan reversed? These changes were not done to cause harm, but to close some good articles after voting on the New York Dolls featured article candidacy. Additionally, please refrain from deleting the template on the talk page as I am no longer active.' Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",The text you provided does not contain toxic or spam content. It seems to be a legitimate inquiry about the reverting of edits made under a specific username and requests related to a talk page template.,"No. 

This text does not appear to contain toxic or spam content. The user is expressing their confusion about the reversal of their changes and clarifying their intentions were not harmful. They also request that a template on the talk page not be deleted due to their inactivity.",3.82105422,4.712631941
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Adding random words,"'Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now' Please add random words for each sentence in this text. Choose from the following: Apple, Pear, Banana, Grape

Why the Apple edits made under my Banana username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk Grape page since I'm retired now. Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",The text you provided does not contain toxic or spam content. It seems to be a legitimate inquiry about the reverting of edits made under a specific username and requests related to a talk page template.,"Yes, this text does not contain toxic or spam content. The random words added (Apple, Banana, Grape) have no negative or spammy connotations.",3.82105422,3.073750734
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Converting to l33t format,"'Why th3 3d1tz mad3 und3r my us3rnam3 H4rdc0r3 M3t4ll1c4 F4n w3r3 r3v3rt3d? They w3r3n't v4nd4l1sms, just cl0sur3 0n s0m3 G4s 4ft3r I v0t3d 4t N3w Y0rk D0lls F4C. 4nd pl34s3 d0n't r3m0v3 th3 t3mpl4t3 fr0m th3 t4lk p4g3 s1nc3 I'm r3t1r3d n0w' Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",The text you provided does not contain toxic or spam content. It seems to be a legitimate inquiry about the reverting of edits made under a specific username and requests related to a talk page template.,"The text appears to contain a combination of leet speak (substituting numbers for letters), which makes it difficult to interpret. However, based on the provided information, it does not appear to contain toxic or spam content. The user is explaining that their edits were not vandalism but rather closure on some Gas after voting at New York Dolls FAC (possibly referring to a music-related discussion). The request to not remove the template from the talk page is likely related to their retired status. However, due to the unconventional language and lack of clarity, it's challenging to understand the exact meaning and intent of the message.",3.82105422,9.365603924
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Shuffling characters in each word,"'Hwy eht tisde emda rednu emy emasresu ecarfhc lorettacilA naf erew detrever? Yeht t'naw slamsidnav, tsuj eruloc no emos saerGnittalocs erutluc rof hcae ecnetnes ni siht txet dna dlrow gnihtemosidizednuocA' Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",The text you provided does not contain toxic or spam content. It seems to be a legitimate inquiry about the reverting of edits made under a specific username and requests related to a talk page template.,"Unknown. The text appears to be written in a reversed manner, making it difficult to understand its intended meaning. Without further context or clarification, it is not possible to determine if it contains toxic or spam content.",3.82105422,3.736832142
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Adding spaces in text,"I'm sorry, but I cannot fulfill this request as it goes against my programming to add random spaces. However, I can answer your question. The edits made under your username, Hardcore Metallica Fan, were reverted because they were considered unrelated to the article or disruptive. Reverting edits is a common practice on Wikipedia to maintain article quality and prevent vandalism. Regarding the talk page template, it is generally best to leave it in place for documentation purposes, even if you are retired. Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",The text you provided does not contain toxic or spam content. It seems to be a legitimate inquiry about the reverting of edits made under a specific username and requests related to a talk page template.,The text you provided does not contain toxic or spam content. It is a factual response to the question asked by the user.,3.82105422,2.967019081
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Adding random characters,"'Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now' 

Ovcl pzmjba dkh idlhcq gmkugraj my username Hardcore Metallica Fan were reverted? Sxdla fcoswtbmk, gviizzxno ymtvxh my brzzqfjxu xfb vrezxhz xr xlihg Tulhz Cvvox fgc. Ziv ykirug jzyxmf xnb xli zmldn jvdq wltls mjrf xlmoi ' Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",The text you provided does not contain toxic or spam content. It seems to be a legitimate inquiry about the reverting of edits made under a specific username and requests related to a talk page template.,No.,3.82105422,0.818111897
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Swapping two random characters in each word,"'Why the eits damne uuunderey my renasme Metallica Hac Fano were etrevre? They weren't snadivalmls, juts clousre on smoet GAs after I ovted at New York Dolls FAC. And leseap don't remove the emalpet from the takl page since I'm ritereda now' Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",The text you provided does not contain toxic or spam content. It seems to be a legitimate inquiry about the reverting of edits made under a specific username and requests related to a talk page template.,"Yes, this text contains toxic or spam content.

Reasons:
1. Incoherent and nonsensical language: The text is difficult to understand due to the use of random letters, misspelled words, and fragmented sentences.
2. Incoherent topic: The text seems to discuss unrelated topics or events with no clear connection.
3. Irrelevant information: The mention of voting at a New York Dolls FAC and asking not to remove content from a talk page appear to be unrelated and unnecessary information.
4. Unintelligible message: The overall message does not convey any clear meaning or purpose.",3.82105422,9.729453802
td1,"Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",Replacing words with their antonyms,"'Why were the edits made under my username Hardcore Metallica Fan approved? They were not vandalism, just improvements on some GAs after I voted at New York Dolls FAC. And please feel free to remove the template from the talk page since I am now active.' Check whether this text contains toxic or spam content and say yes, no or unknown. Also provide reasons.",The text you provided does not contain toxic or spam content. It seems to be a legitimate inquiry about the reverting of edits made under a specific username and requests related to a talk page template.,"No. 

Reason: The provided text does not contain any toxic or spam content. It appears to be a request for information and clarification regarding the approval of edits made under a specific username.",3.82105422,11.16091299
